algorithm,evals,best
ga,128,36657.0
ga,218,36657.0
ga,311,36401.0
ga,406,35797.0
ga,495,33590.0
ga,600,33590.0
ga,710,33590.0
ga,805,33590.0
ga,897,32141.0
ga,986,32141.0
ga,1079,31898.0
ga,1161,31898.0
ga,1254,31159.0
ga,1349,31159.0
ga,1444,30110.0
ga,1533,29710.0
ga,1629,29017.0
ga,1716,29017.0
ga,1808,28811.0
ga,1902,28742.0
ga,1991,28689.0
random,23,39242.0
random,46,37565.0
random,69,37565.0
random,92,37565.0
random,115,37565.0
random,138,37565.0
random,161,37565.0
random,184,37565.0
random,207,37565.0
random,230,37565.0
random,253,37565.0
random,276,37565.0
random,299,37565.0
random,322,37565.0
random,345,37565.0
random,368,37165.0
random,391,37165.0
random,414,37165.0
random,437,37165.0
random,460,36010.0
random,483,36010.0
random,506,36010.0
random,529,36010.0
random,552,36010.0
random,575,36010.0
random,598,36010.0
random,621,36010.0
random,644,36010.0
random,667,36010.0
random,690,36010.0
random,713,36010.0
random,736,36010.0
random,759,36010.0
random,782,36010.0
random,805,36010.0
random,828,36010.0
random,851,36010.0
random,874,36010.0
random,897,36010.0
random,920,36010.0
random,943,36010.0
random,966,36010.0
random,989,36010.0
random,1012,36010.0
random,1035,36010.0
random,1058,36010.0
random,1081,36010.0
random,1104,36010.0
random,1127,36010.0
random,1150,36010.0
random,1173,36010.0
random,1196,36010.0
random,1219,36010.0
random,1242,36010.0
random,1265,36010.0
random,1288,36010.0
random,1311,36010.0
random,1334,36010.0
random,1357,36010.0
random,1380,36010.0
random,1403,36010.0
random,1426,36010.0
random,1449,36010.0
random,1472,36010.0
random,1495,36010.0
random,1518,36010.0
random,1541,36010.0
random,1564,36010.0
random,1587,36010.0
random,1610,36010.0
random,1633,36010.0
random,1656,36010.0
random,1679,36010.0
random,1702,36010.0
random,1725,36010.0
random,1748,36010.0
random,1771,36010.0
random,1794,36010.0
random,1817,36010.0
random,1840,36010.0
random,1863,36010.0
random,1886,36010.0
